date,total_infected,active_cases,icu,icu_ventilator,new_deaths
2020-02-15,22,15,0,0,0
2020-02-16,22,14,0,0,0
2020-02-17,22,13,0,0,0
2020-02-18,22,11,0,0,0
2020-02-19,22,7,0,0,0
2020-02-20,22,5,0,0,0
2020-02-21,22,5,0,0,0
2020-02-22,22,5,0,0,0
2020-02-23,22,4,0,0,0
2020-02-24,22,5,0,0,0
2020-02-25,22,2,0,0,0
2020-02-26,22,2,0,0,0
2020-02-27,22,2,0,0,0
2020-02-28,25,5,0,0,0
2020-02-29,25,5,0,0,0
2020-03-01,29,7,0,0,0
2020-03-02,29,7,0,0,0
2020-03-03,36,14,0,0,0
2020-03-04,50,28,0,0,0
2020-03-05,55,33,0,0,0
2020-03-06,83,60,0,0,0
2020-03-07,93,70,0,0,0
2020-03-08,99,75,0,0,0
2020-03-09,117,93,0,0,0
2020-03-10,129,104,0,0,0
2020-03-11,149,123,2,2,0
2020-03-12,158,126,3,3,0
2020-03-13,197,165,4,4,0
2020-03-14,238,203,5,5,0
2020-03-15,428,386,9,9,0
2020-03-16,553,511,12,12,0
2020-03-17,673,622,12,12,2
2020-03-18,790,728,15,15,1
2020-03-19,900,823,20,20,0
2020-03-20,1030,940,26,26,1
2020-03-21,1183,1061,37,23,4
2020-03-22,1306,1157,46,22,3
2020-03-23,1518,1345,57,27,3
2020-03-24,1624,1425,64,24,1
2020-03-25,1796,1578,45,34,5
2020-03-26,2031,1793,45,32,5
2020-03-27,2161,1876,54,34,1
2020-03-28,2320,1973,73,54,1
2020-03-29,2470,2048,73,52,7
2020-03-30,2626,2110,94,62,3
2020-03-31,2766,2186,94,60,6
2020-04-01,2908,2218,102,66,2
2020-04-02,3116,2299,105,54,5
2020-04-03,3333,2453,108,54,3
2020-04-04,3483,2511,99,50,4
2020-04-05,3662,2596,99,48,4
2020-04-06,3793,2490,102,54,1
2020-04-07,3963,2579,92,50,1
2020-04-08,4119,2567,76,45,2
2020-04-09,4228,2553,72,43,2
2020-04-10,4346,2446,69,40,3
2020-04-11,4530,2462,72,38,3
2020-04-12,4683,2499,66,37,3
2020-04-13,4817,2464,66,36,1
2020-04-14,4987,2427,60,33,5
2020-04-15,5072,2342,56,32,1
2020-04-16,5182,2332,56,29,1
2020-04-17,5251,2198,51,26,2
2020-04-18,5305,2115,49,26,2
2020-04-19,5389,2103,46,26,1
2020-04-20,5425,2041,45,28,0
2020-04-21,5482,2041,43,27,3
2020-04-22,5532,1987,43,25,1
2020-04-23,5603,1966,42,21,2
2020-04-24,5691,1932,41,18,1
2020-04-25,5742,1882,36,16,2
2020-04-26,5780,1820,36,15,0
2020-04-27,5820,1764,37,17,1
2020-04-28,5851,1719,36,17,1
2020-04-29,5945,1758,40,18,0
2020-04-30,6002,1729,36,14,2
2020-05-01,6071,1758,37,14,1
2020-05-02,6176,1747,31,12,
2020-05-03,6298,1780,27,13,2
2020-05-04,6353,1764,28,13,
2020-05-05,6383,1710,24,8,1
2020-05-06,6428,1619,22,9,1
2020-05-07,6467,1584,19,8,0
2020-05-08,6535,1564,18,7,0
2020-05-09,6589,1552,18,6,1
2020-05-10,6656,1523,18,6,0
2020-05-11,6726,1504,20,7,1
2020-05-12,6742,1410,16,3,0
2020-05-13,6779,1387,16,4,2
2020-05-14,6819,1356,16,4,1
2020-05-15,6855,1304,14,5,0
2020-05-16,6872,1247,13,5,1
2020-05-17,6894,1210,13,7,0
2020-05-18,6941,1213,13,6,0
2020-05-19,6978,1218,11,6,1
2020-05-20,7009,1189,11,7,0
2020-05-21,7059,1149,10,7,0
2020-05-22,7137,1163,9,5,1
2020-05-23,7185,1158,9,5,0
2020-05-24,7245,1185,9,4,0
2020-05-25,7417,1323,8,4,0
2020-05-26,7604,1448,8,5,0
2020-05-27,7619,1421,8,4,0
2020-05-28,7629,1345,8,4,0
2020-05-29,7732,1382,8,2,0
2020-05-30,7762,1317,9,2,0
2020-05-31,7819,1351,9,2,0
2020-06-01,7857,1338,8,2,0
2020-06-02,7877,1292,6,2,0
2020-06-03,7970,1324,6,2,0
2020-06-04,8247,1573,6,2,0
2020-06-05,8266,1540,6,1,1
2020-06-06,8303,1551,5,0,1
2020-06-07,8322,1531,5,0,0
2020-06-08,8329,1518,6,1,0
2020-06-09,8336,1244,6,1,0
2020-06-10,8338,1206,5,0,1
2020-06-11,8369,1186,5,0,0
2020-06-12,8402,1115,4,0,1
2020-06-13,8445,1014,4,0,1
2020-06-14,8453,986,4,0,1
2020-06-15,8494,973,4,0,0
2020-06-16,8505,651,4,0,0
2020-06-17,8515,521,4,0,0
2020-06-18,8529,408,4,0,0
2020-06-19,8535,344,3,0,0
2020-06-20,8556,289,3,0,0
2020-06-21,8572,295,3,0,0
2020-06-22,8587,289,2,0,0
2020-06-23,8590,283,3,0,0
2020-06-24,8596,244,2,0,0
2020-06-25,8600,208,2,0,0
2020-06-26,8606,191,2,0,0
2020-06-27,8616,187,2,0,0
2020-06-28,8634,195,2,0,0
